Name	Fraction	Experiment
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel01	1	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel02	2	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel03	3	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel04	4	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel05	5	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel06	6	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel07	7	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel08	8	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel09	9	WTday01
20090921_Velos4_DiWa_SA_Celegans_WTDay01Offgel10	10	WTday01
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel01	1	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel02	2	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel03	3	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel04	4	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel05	5	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel06	6	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel07	7	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel08	8	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel09	9	WTday06
20091006_Velos3_DiWa_SA_Celegans_WT-Day06Offgel10	10	WTday06
20090929_Velos3_DiWa_SA_Celegans_WTDay12Offgel01	1	WTday12
20090929_Velos3_DiWa_SA_Celegans_WTDay12Offgel02	2	WTday12
20090929_Velos3_DiWa_SA_Celegans_WTDay12Offgel03	3	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel04	4	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel05	5	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel06	6	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel07	7	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel08	8	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel09	9	WTday12
20090927_Velos4_DiWa_SA_Celegans_WTDay12Offgel10	10	WTday12
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-01	1	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-02	2	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-03	3	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-04	4	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-05	5	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-06	6	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-07	7	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-08	8	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-09	9	WTday17
20100304_Velos1_DiWa_SA_Celegans_N2WT-Day17-10	10	WTday17
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel01	1	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel02	2	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel03	3	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel04	4	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel05	5	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel06	6	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel07	7	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel08	8	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel09	9	WTday22
20091016_Velos3_DiWa_SA_Celegans_WT-Day22_Offgel10	10	WTday22
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel01	1	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel02	2	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel03	3	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel04	4	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel05	5	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel06	6	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel07	7	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel08	8	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel09	9	DAF2day01
20091015_Velos3_DiWa_SA_Celegans_Daf2-Day1_Offgel10	10	DAF2day01
20091017_Velos3_DiWa_SA_Celegans_Daf2-Day6_Offgel01	1	DAF2day06
